"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","269.023","265.73","262.549","259.545","256.781","254.318","252.208","250.476","249.134","248.192","247.665","247.566","247.847","248.396","249.092","249.817","250.45","250.827","250.67","249.688","247.6","244.149","239.23","233.608","228.338","224.388","222.675","224.095","405.965","235.032","242.523","248.85","254.203","254.696","253.051","249.038","243.625","237.158","229.764","222.203","215.181","209.36","205.354","203.723","204.293","206.222","208.677","210.721","211.519","210.528","208.132","204.84","201.299","197.561","194.414","192.047","189.616","187.611","185.984","184.204","332.94","209.01","201.989","182.802","",
"American Samoa","ASM","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","245.27","244.21","246.441","249.175","253.017","257.785","298.789","265.692","266.708","264.725","264.45","264.036","263.259","257.994","255.072","252.269","251.912","250.016","249.924","247.363","244.154","240.841","237.525","234.674","231.828","229.449","229.518","230.878","234.266","236.155","236.647","235.103","232.691","230.532","228.648","226.905","224.515","220.12","215.709","212.176","209.908","205.71","200.807","197.504","188.595","186.752","187.408","190.268","190.804","206.581","189.963","189.35","190.087","189.164","192.505","195.586","199.441","199.21","203.412","207.73","212.13","212.478","212.382","209.063","",
"Antigua and Barbuda","ATG","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","274.932","269.549","264.473","259.365","253.526","247.905","242.062","237.036","232.052","227.016","222.486","217.634","212.974","208.35","203.963","199.993","195.989","192.156","188.4","184.763","181.554","178.692","176.218","174.286","172.84","171.949","171.501","171.346","171.656","172.658","173.174","174.237","175.468","176.189","176.257","175.996","175.076","174.432","177.144","176.265","174.622","169.488","165.655","161.28","158.157","157.905","157.244","154.536","149.293","143.91","138.705","134.363","134.57","134.93","135.449","132.706","130.783","129.66","129.854","130.309","131.471","129.593","127.204","126.127","",
"Australia","AUS","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","200.01","198.798","203.46","202.327","209.646","207.713","206.009","206.32","209.072","206.545","208.409","197.846","194.619","192.443","196.525","189.266","185.176","177.915","174.401","169.626","165.1","160.649","157.021","148.861","145.955","142.205","136.867","136.15","132.608","130.174","123.906","118.763","116.61","112.772","112.33","108.979","107.832","104.411","103.662","101.033","97.967","93.793","90.801","89.052","86.332","85.447","82.945","84.719","82.004","81.768","78.634","78.281","75.751","75.516","76.934","78.367","76.101","77.31","74.055","75.203","73.018","72.64","","","",
"Austria","AUT","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","215.261","205.943","206.366","201.301","199.678","202.51","201.344","202.645","202.833","202.337","206.206","206.123","207.079","197.25","200.106","201.688","198.837","200.279","200.568","200.223","196.728","195.045","194.788","193.926","190.093","181.016","175.215","167.866","161.972","160.44","155.102","157.686","152.976","149.83","145.837","145.169","140.538","135.068","131.611","125.913","126.568","122.892","120.026","115.817","114.612","111.759","105.344","104.253","99.617","103.061","100.315","94.356","91.335","89.369","85.621","84.688","80.37","79.032","79.401","75.489","76.787","81.483","77.305","75.084","",
"Azerbaijan","AZE","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","458.855","453.916","446.681","437.869","430.182","422.696","414.63","407.419","400.084","392.622","385.248","378.881","371.835","364.986","358.091","352.932","341.131","332.768","321.61","311.393","299.815","289.902","280.473","274.999","295.363","277.557","276.479","278.883","286.208","286.629","302.369","312.279","364.301","348.846","398.397","343.221","325.371","311.96","296.411","267.424","261.08","244.879","234.113","237.362","232.065","236.472","230.564","230.765","215.832","203.699","199.309","202.224","192.887","192.283","181.077","180.769","174.364","178.338","172.541","165.759","218.878","195.424","167.949","145.082","",
"Burundi","BDI","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","438.106","435.088","433.558","433.527","432.918","487.279","433.346","437.222","433.299","443.982","436.95","436.9","822.05","574.324","433.413","433.961","432.695","430.549","427.798","423.032","417.248","412.742","410.053","411.38","415.695","424.701","437.829","452.149","553.21","485.373","498.244","511.79","513.324","662.725","514.646","515.739","515.307","500.44","485.397","465.495","483.699","473.057","438.589","417.708","396.55","386.264","375.467","365.842","360.011","350.555","343.77","336.939","329.951","323.957","319.147","321.905","311.776","306.464","302.079","298.92","294.057","314.51","299.967","285.699","",
"Belgium","BEL","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","209.462","200.578","201.867","203.26","200.322","204.262","196.076","197.336","199.357","199.75","194.432","192.803","194.307","190.075","181.95","184.244","182.259","178.42","180.667","175.332","174.655","167.942","166.775","165.437","159.444","157.099","152.39","149.756","144.186","141.13","138.666","138.318","135.539","136.689","136.48","136.967","132.434","131.229","129.023","131.877","130.497","128.037","124.715","122.423","116.535","114.317","110.936","109.303","111.648","107.237","102.286","100.409","99.119","94.41","91.495","89.437","86.252","82.997","80.464","77.72","82.326","80.57","77.708","76.294","",
"Benin","BEN","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","473.965","471.887","467.491","463.517","461.277","457.284","453.469","448.377","446.205","443.566","439.946","436.462","431.619","426.23","423.244","418.843","415.556","412.08","409.56","407.46","406.151","404.821","403.589","402.676","397.499","391.476","383.53","374.428","364.037","360.044","352.771","347.49","337.151","328.308","322.134","316.42","310.897","307.939","307.564","307.496","303.716","304.513","301.629","298.42","295.12","290.01","288.549","285.404","288.991","287.485","287.521","288.789","290.16","288.037","288.357","289.265","289.781","289.345","287.678","289.777","288.059","306.699","289.327","289.487","",
"Burkina Faso","BFA","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","480.03","477.71","472.828","468.664","465.438","460.304","456.18","451.361","447.136","444.636","438.204","436.057","428.466","423.654","415.456","408.359","400.333","392.807","385.275","379.222","371.76","369.447","359.926","356.331","353.044","351.951","351.557","354.196","354.099","355.878","357.63","359.906","361.619","363.689","365.532","367.284","368.539","374.844","368.413","367.497","365.981","363.873","363.776","359.612","353.402","347.457","345.111","340.425","332.267","327.384","322.943","317.001","313.475","310.067","307.028","303.667","300.499","297.25","293.988","296.865","295.263","315.177","303.989","303.599","",
